,power_output,NYC_demand,Pdifference,PV2G,Pdifference_left,Power_missing,Charging,Discharging,Critical,Driving,Missing_noscale,Blocked_high,Blocked_low,P_Blocked_high,P_Blocked_low,P_driving,Total,P_balance_without,P_balance_with_missing
2013-01-27 14:45:00,8631.962559999998,6505.698,2126.264559999998,-12460.0,-54373.735440000004,10340,0,2202500,1130000,3015,1034,0,17261,0.0,0.6407201187824796,0,13472021.30852341,-10351.4850415,-11.48504150000008
2013-01-27 15:00:00,8614.415358499999,6505.9004,2108.5149585,-24085.0,-70116.4850415,21980,0,2407500,1444500,3125,2198,0,16112,0.0,0.5980697847067558,0,13471748.669349603,-21988.018543000002,-8.018543000001955
2013-01-27 15:15:00,8596.868156999999,6499.8867,2096.981456999999,-10370.0,-57503.018543,8280,0,2462000,1192000,4063,828,0,15570,0.0,0.5779510022271714,0,13471843.437799368,-8405.936841000002,-125.93684100000246
2013-01-27 15:30:00,8486.368858999998,6522.3057,1964.0631589999984,-1960.0,-57485.936841,0,0,2874500,1189000,3498,0,0,15299,0.0,0.5678916109873794,0,13443533.0959106,-113.15193900000054,-113.15193900000054
2013-01-27 15:45:00,8375.869561,6529.0215,1846.8480609999995,-1845.0,-46078.151939,0,0,2304000,958500,3557,0,0,15650,0.0,0.5809205642167781,0,11365802.405276094,-123.60043699999937,-123.60043699999937
2013-01-27 16:00:00,8265.370262999999,6543.9707,1721.3995630000006,-1720.0,-57778.600437,0,0,2889000,1190000,2885,0,0,14833,0.0,0.5505939123979213,0,11915881.587508135,-139.62903499999993,-139.62903499999993
2013-01-27 16:15:00,8154.870965000001,6574.5,1580.370965,-1575.0,-51994.629035,0,0,2600000,1071500,3640,0,0,15226,0.0,0.5651818856718634,0,12250459.49962844,-26.720906500000638,-26.720906500000638
2013-01-27 16:30:00,8096.238593499998,6547.9595,1548.2790934999994,-1540.0,-51601.7209065,0,0,2580500,1063000,3120,0,0,15937,0.0,0.5915738678544915,0,12451590.764937205,-145.46117799999934,-145.46117799999934
2013-01-27 16:45:00,8037.606221999999,6643.0674,1394.5388220000007,-1390.0,-53605.461178,0,0,2680500,1100000,2977,0,0,16153,0.0,0.5995916852264291,0,13040546.73495519,-44.804449499999464,-44.804449499999464
2013-01-27 17:00:00,7978.9738505,6633.7783,1345.1955505000005,-14440.0,-65304.8044495,13100,0,2611000,1333000,3053,1310,0,16000,0.0,0.5939123979213066,0,13471707.873716239,-13198.740521,-98.74052099999972
2013-01-27 17:15:00,7920.3414790000015,6679.081999999999,1241.2594790000005,-11680.0,-58558.740521,10440,0,2406500,1196000,3752,1044,0,15984,0.0,0.5933184855233853,0,13471869.794558575,-10525.68898225,-85.68898224999975
2013-01-27 17:30:00,7885.57171775,6731.2607,1154.3110177500002,-9665.0,-61920.68898225,8520,0,2671000,1261500,3509,852,0,15567,0.0,0.5778396436525612,0,13471712.868769076,-8622.9860435,-102.98604349999914
2013-01-27 17:45:00,7850.8019564999995,6808.7880000000005,1042.0139565000009,-1035.0,-52682.9860435,0,0,2634500,1074500,3648,0,0,15542,0.0,0.5769116555308093,0,12892962.580645163,-86.34080474999882,-86.34080474999882
2013-01-27 18:00:00,7816.032195250001,6867.3730000000005,948.6591952500012,-945.0,-57176.34080475,0,0,2859000,1162500,3274,0,0,15333,0.0,0.5691536748329621,0,13001225.249009958,-2.462165999999229,-2.462165999999229
2013-01-27 18:15:00,7781.262434,6838.7246,942.5378340000008,-935.0,-52482.462166,0,0,2624500,1068500,3375,0,0,15687,0.0,0.5822939866369711,0,12628766.18431074,50.714327249999656,50.714327249999656
2013-01-27 18:30:00,7740.29432725,6754.58,985.7143272499997,-980.0,-49364.285672750004,0,0,2468500,1007000,3135,0,0,16087,0.0,0.5971417965850037,0,12131377.299818605,13.365220499999964,13.365220499999964
2013-01-27 18:45:00,7699.3262205,6705.960999999999,993.3652205,-985.0,-41181.6347795,0,0,2059500,843500,2946,0,0,16521,0.0,0.6132516703786192,0,10465250.903251706,-70.30088624999928,-70.30088624999928
2013-01-27 19:00:00,7658.35811375,6743.659000000001,914.6991137500007,-905.0,-38710.30088625,0,0,1936000,792500,2351,0,0,16395,0.0,0.6085746102449888,0,8970684.647302901,46.919307,46.919307
2013-01-27 19:15:00,7617.390006999999,6665.4707,951.919307,-950.0,-31498.080693,0,0,1575000,649000,2269,0,0,16254,0.0,0.6033407572383074,0,7118279.672092195,-126.68226899999888,-126.68226899999888
2013-01-27 19:30:00,7430.8773310000015,6607.5596,823.3177310000011,-820.0,-27426.682268999997,0,0,1371500,565000,1870,0,0,15989,0.0,0.5935040831477357,0,5744886.025768086,-172.1383449999994,-172.1383449999994
2013-01-27 19:45:00,7244.364654999999,6596.503000000001,647.8616550000006,-645.0,-25777.138345,0,0,1289000,528500,1627,0,0,15595,0.0,0.5788789903489235,0,5038428.689030666,-127.92442099999971,-127.92442099999971
2013-01-27 20:00:00,7057.851979000001,6540.7764,517.0755790000003,-515.0,-22407.924421,0,0,1120500,458500,1509,0,0,15444,0.0,0.5732739420935412,0,4259363.172123761,-131.13269699999915,-131.13269699999915
2013-01-27 20:15:00,6871.339303000002,6487.472,383.86730300000085,-375.0,-20641.132697,0,0,1032500,420500,1357,0,0,15245,0.0,0.5658871566443949,0,3786401.6250725477,-300.4542725000001,-300.4542725000001
2013-01-27 20:30:00,6495.2077275,6420.661999999999,74.54572749999987,-70.0,-23775.4542725,0,0,1189000,477000,1178,0,0,14948,0.0,0.5548626577579807,0,4150364.342518957,-356.4858479999994,-356.4858479999994
2013-01-27 20:45:00,6119.0761520000015,6405.562,-286.4858479999994,290.0,-16836.485848,0,0,842000,331000,1374,0,0,15287,0.0,0.5674461766889384,0,3074289.327755618,-318.0691235000004,-318.0691235000004
2013-01-27 21:00:00,5742.9445765,6351.0137,-608.0691235000004,615.0,-19633.0691235,0,0,982000,380500,934,0,0,15087,0.0,0.560022271714922,0,3361640.260097078,-339.700699,-339.700699
2013-01-27 21:15:00,5366.8130009999995,6321.5137,-954.700699,960.0,-18154.700699,0,0,908000,344000,1087,0,0,15052,0.0,0.5587230883444692,0,3122755.3004351445,128.3543822500004,128.3543822500004
2013-01-27 21:30:00,5395.46668225,6227.1123,-831.6456177499996,835.0,-19556.64561775,0,0,978000,374500,999,0,0,15054,0.0,0.5587973273942094,0,3346775.9713419676,81.42796350000026,81.42796350000026
2013-01-27 21:45:00,5424.1203635,6177.6924,-753.5720364999997,755.0,-17628.5720365,0,0,881500,337500,1071,0,0,15284,0.0,0.5673348181143282,0,3102490.316485593,90.43074474999878,90.43074474999878
2013-01-27 22:00:00,5452.774044749999,6117.3433,-664.5692552500012,665.0,-16989.56925525,0,0,849500,326500,938,0,0,15420,0.0,0.5723830734966593,0,2993899.0738990745,84.2304260000002,84.2304260000002
2013-01-27 22:15:00,5481.427726,6062.1973,-580.7695739999998,585.0,-12555.769574,0,0,628000,239500,881,0,0,15584,0.0,0.5784706755753526,0,2231069.212410501,274.7906624999996,274.7906624999996
2013-01-27 22:30:00,5633.2022625,5943.4116,-310.2093375000004,320.0,-11760.2093375,0,0,588500,229000,662,0,0,15389,0.0,0.5712323682256867,0,2022541.096519423,242.84879900000124,242.84879900000124
2013-01-27 22:45:00,5784.976799000001,5862.128000000001,-77.15120099999876,85.0,-8252.151200999999,0,0,413000,163500,615,0,0,15261,0.0,0.5664810690423162,0,1403733.7310195228,259.71133550000013,259.71133550000013
2013-01-27 23:00:00,5936.7513355,5762.04,174.7113355000001,-170.0,-10575.2886645,0,0,529000,215000,477,0,0,14917,0.0,0.5537119524870082,0,1735957.0413996188,227.40587200000033,227.40587200000033
2013-01-27 23:15:00,6088.525872,5691.12,397.40587200000033,-395.0,-8477.594127999999,0,0,424000,177500,561,0,0,14930,0.0,0.5541945063103192,0,1415355.9262817712,239.51226250000036,239.51226250000036
2013-01-27 23:30:00,6222.3482625000015,5587.835999999999,634.5122625000004,-625.0,-8790.4877375,0,0,440000,188500,482,0,0,14906,0.0,0.5533036377134373,0,1465702.042936288,220.42965300000105,220.42965300000105
2013-01-27 23:45:00,6356.170653000001,5510.741,845.429653000001,-840.0,-10304.570346999999,0,0,515500,223000,499,0,0,14779,0.0,0.5485894580549369,0,1705984.393757503,226.34654350000073,226.34654350000073
2013-01-28 00:00:00,6489.9930435000015,5423.6465,1066.3465435000007,-1050.0,1066.3465435000007,0,21000,0,0,633,0,0,0,0.0,0.0,0,21505.302771125556,243.90843399999994,243.90843399999994
2013-01-28 00:15:00,6623.815434,5329.906999999999,1293.908434,-1275.0,1293.908434,0,25500,0,0,0,0,0,0,0.0,0.0,0,25500.0,112.30338100000063,112.30338100000063
2013-01-28 00:30:00,6632.237981,5244.9346,1387.3033810000006,-1375.0,1387.3033810000006,0,27500,0,0,0,0,0,0,0.0,0.0,0,27500.0,69.26602800000092,69.26602800000092
2013-01-28 00:45:00,6640.660528000001,5196.3945,1444.266028000001,-1425.0,1444.266028000001,0,28500,0,0,0,0,0,0,0.0,0.0,0,28500.0,81.9670750000007,81.9670750000007
2013-01-28 01:00:00,6649.083075000001,5142.116,1506.9670750000007,-1500.0,-293.0329249999993,0,0,15000,36000,0,0,0,14945,0.0,0.5547512991833704,0,114542.72613588994,59.268622000000505,59.268622000000505
2013-01-28 01:15:00,6657.5056220000015,5098.237,1559.2686220000005,-1555.0,-215.7313779999995,0,0,11000,35500,101,0,0,14891,0.0,0.552746844840386,0,104846.83629059258,11.19936300000063,11.19936300000063
2013-01-28 01:30:00,6599.765763,5033.5664,1566.1993630000006,-1560.0,-533.8006369999994,0,0,27000,42000,106,0,0,14823,0.0,0.5502227171492204,0,154763.13379402214,-33.960095999999794,-33.960095999999794
2013-01-28 01:45:00,6542.025904,5015.986,1526.0399040000002,-1525.0,26.039904000000206,0,500,0,30000,108,0,0,0,0.0,0.0,0,30622.763864042932,-19.32825500000058,-19.32825500000058
2013-01-28 02:00:00,6484.286045000001,4978.6143,1505.6717449999994,-1500.0,530.6717449999994,0,10500,0,19500,81,0,0,0,0.0,0.0,0,30090.472467329386,-6.595814000000246,-6.595814000000246
